blocks,threads,iterations,time
8,64,1,1.716571569442749
8,1,1,31.721914052963257
8,2,1,17.916500568389893
8,4,1,9.409253358840942
8,8,1,5.847857236862183
8,16,1,3.5420894622802734
8,32,1,2.3125579357147217
8,64,1,2.232476234436035
8,128,1,1.0329997539520264
8,256,1,1.3500001430511475
1,64,1,6.223074674606323
1,1,1,247.85410070419312
1,2,1,138.81909918785095
1,4,1,70.45743608474731
1,8,1,35.86443090438843
1,16,1,18.37816858291626
1,32,1,9.714663982391357
1,64,1,5.958085536956787
1,128,1,3.8371026515960693
1,256,1,2.2627909183502197
2,64,1,3.720046043395996
2,1,1,123.4842758178711
2,2,1,69.2726411819458
2,4,1,35.26158785820007
2,8,1,18.116897344589233
2,16,1,9.422728300094604
2,32,1,5.68900203704834
2,64,1,3.696729898452759
2,128,1,2.090817928314209
2,256,1,1.6325254440307617
4,64,1,2.1272778511047363
4,1,1,62.536006689071655
4,2,1,35.08590316772461
4,4,1,17.968448400497437
4,8,1,9.368251085281372
4,16,1,5.702134370803833
4,32,1,3.619551420211792
4,64,1,2.1220316886901855
4,128,1,1.57551908493042
4,256,1,0.9889967441558838
8,64,1,1.6005172729492188
8,1,1,31.708515644073486
8,2,1,17.871357440948486
8,4,1,9.368657112121582
8,8,1,5.874069929122925
8,16,1,3.6625888347625732
8,32,1,2.0910017490386963
8,64,1,1.589531660079956
8,128,1,0.9965054988861084
8,256,1,1.0119855403900146
16,64,1,0.9680004119873047
16,1,1,16.357096195220947
16,2,1,9.33542776107788
16,4,1,5.750502586364746
16,8,1,3.516603469848633
16,16,1,2.0495412349700928
16,32,1,1.5930027961730957
16,64,1,0.9909970760345459
16,128,1,1.0289998054504395
16,256,1,0.9869985580444336
32,64,1,0.9990003108978271
32,1,1,8.57677149772644
32,2,1,5.879599094390869
32,4,1,3.5178351402282715
32,8,1,2.095604181289673
32,16,1,1.5545876026153564
32,32,1,0.9690003395080566
32,64,1,1.0130009651184082
32,128,1,0.9949989318847656
32,256,1,1.0085175037384033
64,64,1,0.97300124168396
64,1,1,5.795348882675171
64,2,1,3.6185779571533203
64,4,1,2.0579676628112793
64,8,1,1.559589147567749
64,16,1,0.9849989414215088
64,32,1,0.9649991989135742
64,64,1,0.9880006313323975
64,128,1,1.0229992866516113
64,256,1,1.0940015316009521
128,64,1,1.0139977931976318
128,1,1,3.7175681591033936
128,2,1,2.2435059547424316
128,4,1,1.5729997158050537
128,8,1,1.003999948501587
128,16,1,1.062513828277588
128,32,1,0.9965159893035889
128,64,1,0.9929993152618408
128,128,1,1.0200016498565674
128,256,1,1.2205126285552979
256,64,1,1.2730000019073486
256,1,1,3.2670912742614746
256,2,1,2.118729591369629
256,4,1,0.978435754776001
256,8,1,1.028001308441162
256,16,1,0.9970190525054932
256,32,1,1.0434975624084473
256,64,1,1.0565059185028076
256,128,1,1.116558313369751
256,256,1,1.2149841785430908